dataset,id,question,question_type,expected_behavior,expected_answer,expected_answer_regex,required_phrases,gold_evidence_labels,cannot_answer,answer_text,answer_citations,has_citations,citation_validity,citation_overlaps_gold_evidence,verification_passed,pass_overall_full,pass_overall_retrieval,pass_refusal_rule,pass_citation_rule,pass_expected_doc_rule,pass_evidence_recall_rule,pass_expected_value_rule,pass_citation_overlap_rule,pass_verification_rule,context_precision_doc,context_recall_doc,context_precision_ranked_full,context_precision_ranked_retrieval,evidence_recall_at_k_full,evidence_recall_at_k_retrieval,evidence_mrr_full,evidence_mrr_retrieval,evidence_ndcg_at_k_full,evidence_ndcg_at_k_retrieval,evidence_coverage_full,evidence_coverage_retrieval,evidence_recall_before_rerank,evidence_recall_after_rerank,reranker_dropped_evidence,retrieval_contains_expected_value,retrieval_contains_required_phrases,answer_matches_expected_value,corpus_contains_expected_value,corpus_contains_required_phrases,retrieval_missed_existing_value
gold,g011,What is the next review date guidance for the Provision of IT Equipment & Acceptable Use policy?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+as\s+required\b,,docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-120,False,The review frequency is Annual or as required.[docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100],docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g012,What is the policy group for the Recruitment and Selection Policy?,metadata,answer,Employees,,,docs/txt/Recruitment_and_Selection_Policy.txt:1-120,False,The policy group is Employees.[docs/txt/Recruitment_and_Selection_Policy.txt:1-100],docs/txt/Recruitment_and_Selection_Policy.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g013,What is the responsible committee for the Recruitment and Selection Policy?,metadata,answer,PERSONNEL,,,docs/txt/Recruitment_and_Selection_Policy.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Recruitment_and_Selection_Policy.txt:1-100],docs/txt/Recruitment_and_Selection_Policy.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g014,What is the CURRENT month/year shown for the Recruitment and Selection Policy?,metadata,answer,07/2024,,,docs/txt/Recruitment_and_Selection_Policy.txt:1-120,False,"The Recruitment and Selection Policy shows the date ""07/08/2025"" in the Current Document Status section.[docs/txt/Recruitment_and_Selection_Policy.txt:1-100]",docs/txt/Recruitment_and_Selection_Policy.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
gold,g015,What is the next review date guidance for the Recruitment and Selection Policy?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+(?:as|if)\s+required(?:\s+by\s+legislation)?\b,,docs/txt/Recruitment_and_Selection_Policy.txt:1-120,False,The review frequency is Annual or as required by legislation.[docs/txt/Recruitment_and_Selection_Policy.txt:1-100],docs/txt/Recruitment_and_Selection_Policy.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g016,What is the policy group for the Employee Handbook?,metadata,answer,Employees,,,docs/txt/Employee_Handbook.txt:1-120,False,The policy group is Employees.[docs/txt/Employee_Handbook.txt:1-100],docs/txt/Employee_Handbook.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g017,What is the responsible committee for the Employee Handbook?,metadata,answer,PERSONNEL,,,docs/txt/Employee_Handbook.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Employee_Handbook.txt:1-100],docs/txt/Employee_Handbook.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g018,What is the next review date guidance for the Employee Handbook?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+(?:as|if)\s+required(?:\s+by\s+legislation)?\b,,docs/txt/Employee_Handbook.txt:1-120,False,The review frequency is Annual or as required by legislation.[docs/txt/Employee_Handbook.txt:1-100],docs/txt/Employee_Handbook.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g019,Name two lawful bases for processing personal information listed in the Data Protection - Employees policy.,procedure,answer,consent; legal obligation,,,Data_Protection_-_Employees.txt,False,"Two lawful bases for processing personal information listed in the Data Protection - Employees policy are: (1) where “the data subject has given explicit consent”; and (2) where “the processing is necessary for the establishment, exercise or defence of legal claims.”[docs/txt/Data_Protection_-_Employees.txt:301-420]",docs/txt/Data_Protection_-_Employees.txt:301-420,True,True,True,True,False,True,True,True,True,True,False,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,False,,,
gold,g020,"According to the Data Protection - Employees policy, what does a 'data breach' mean?",definition,answer,,(?is)(?=.*breach of security)(?=.*unauthori[sz]ed)(?=.*(disclosure|access))(?=.*personal),,Data_Protection_-_Employees.txt,False,"The policy describes a data breach as including: unauthorised access to or use of personal information by a member of staff or a third party; loss of data due to equipment or systems (hardware or software) failure; human error such as accidental deletion or alteration of data; unforeseen circumstances such as fire or flood; deliberate attacks on IT systems such as hacking, viruses or phishing scams; and “blagging” offences where information is obtained by deceiving the organisation that holds it.[docs/txt/Data_Protection_-_Employees.txt:701-787]",docs/txt/Data_Protection_-_Employees.txt:701-787,True,True,True,True,False,True,True,True,True,True,False,True,True,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g021,"Before processing any sensitive personal information, who must staff notify (Data Protection - Employees policy)?",procedure,answer,notify; Senior Policy and Data Compliance Monitoring Officer,,,Data_Protection_-_Employees.txt,False,"Before processing any sensitive personal information, staff must notify the Senior Policy and Data Compliance Monitoring Officer of the proposed processing so the officer can assess whether the processing complies with the required criteria.[docs/txt/Data_Protection_-_Employees.txt:301-420]",docs/txt/Data_Protection_-_Employees.txt:301-420,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,True,,,
gold,g022,"After reading and understanding the Data Protection - Employees policy, what must employees do to confirm they have read it?",procedure,answer,sign; declaration,,,Data_Protection_-_Employees.txt,True,The provided excerpts from the Data Protection Policy - Employees do not state what employees must do to confirm they have read and understood the policy.[docs/txt/Data_Protection_-_Employees.txt:1-120][docs/txt/Data_Protection_-_Employees.txt:101-220],docs/txt/Data_Protection_-_Employees.txt:1-120; docs/txt/Data_Protection_-_Employees.txt:101-220,True,True,True,True,False,True,False,True,True,True,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,False,,,
gold,g023,Who does the Data Protection - Employees policy apply to? Provide two groups mentioned in the policy.,scope,answer,employees; job applicants,,,Data_Protection_-_Employees.txt,False,Employees.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,False,True,True,True,True,True,False,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,False,,,
gold,g024,"Under the Provision of IT Equipment & Acceptable Use policy, is personal use of STC internet, Teams and email permitted?",procedure,answer,Personal use; not permitted,,,Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt,True,"The policy does not explicitly state that personal use of STC internet, Teams and email is permitted, but it does state that any personal use of STC computing and network facilities cannot be considered private because data held on STC systems may be subject to Freedom of Information or Subject Access Requests. [docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:201-320] The policy also lists specific prohibitions related to internet, Teams and email use (for example, making official commitments on behalf of STC unless authorised, and forwarding STC mail to personal email accounts). [docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420]",docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:201-320; docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420,True,True,True,True,False,True,False,True,True,True,False,False,True,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,False,,,
gold,g025,Which two-factor authentication application must remote employees enable under the Provision of IT Equipment & Acceptable Use policy?,procedure,answer,Duo Mobile,,,Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt,False,Remote employees must enable the two-factor authentication application Duo Mobile under the Provision of IT Equipment & Acceptable Use policy.[docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:101-220],docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:101-220,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g026,"Under the Provision of IT Equipment & Acceptable Use policy, can employees open STC emails on a non-STC device?",procedure,answer,,(?is)(?=.*\bemail)(?=.*non\s*-?\s*stc)(?=.*device)(?=.*(must\s+not|should\s+not|not\s+permitted|do\s+not)),,Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt,True,The provided excerpts from the Provision of IT Equipment & Acceptable Use policy do not explicitly state whether employees can open STC emails on a non-STC device. [docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420] The policy does state that users must not “Forward STC mail to personal (non-STC) email accounts.” [docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420],docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420; docs/txt/Provision_of_IT_Acceptable_Use_Policy_Employees_Members.txt:301-420,True,True,True,True,False,True,False,True,True,True,True,False,True,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g027,"According to the Recruitment and Selection Policy, how long should vacancies be advertised for at minimum?",procedure,answer,minimum; two weeks,,,Recruitment_and_Selection_Policy.txt,False,The Recruitment and Selection Policy states that vacancies will be advertised for a minimum of two weeks.[docs/txt/Recruitment_and_Selection_Policy.txt:101-220],docs/txt/Recruitment_and_Selection_Policy.txt:101-220,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,,,True,,,
gold,g028,"According to the Recruitment and Selection Policy, which email address should applications be submitted to?",procedure,answer,humanresources@saltash.gov.uk,,,Recruitment_and_Selection_Policy.txt,True,"The provided excerpts from the Recruitment and Selection Policy do not state an email address for submitting applications, only that applications will be received by the Administration Officer or, on occasion, by the Town Council's appointed Human Resources Consultant.[docs/txt/Recruitment_and_Selection_Policy.txt:201-320]",docs/txt/Recruitment_and_Selection_Policy.txt:201-320,True,True,True,True,False,True,False,True,True,True,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g029,"In the Recruitment and Selection Policy, which role is excluded from the procedure (i.e., has a separate procedure)?",scope,answer,Town Clerk,,,Recruitment_and_Selection_Policy.txt,True,cannot_answer=true. [docs/txt/Recruitment_and_Selection_Policy.txt:1-120],docs/txt/Recruitment_and_Selection_Policy.txt:1-120,True,True,True,True,False,True,False,True,True,True,False,False,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g030,Who has particular responsibility for implementing and monitoring the Equality and Diversity in Employment Policy?,procedure,answer,Town Clerk,,,Equality_Diversity.txt,False,"The senior management team has specific responsibility for eliminating discrimination and providing equality of opportunity, which includes particular responsibility for implementing and monitoring the Equality and Diversity in Employment Policy.[docs/txt/Equality_Diversity.txt:101-220]",docs/txt/Equality_Diversity.txt:101-220,True,True,True,True,False,True,True,True,True,True,False,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g031,What is the aim of the Equality and Diversity Policy (in one sentence)?,definition,answer,,(?is)(?=.*less favourable treatment)(?=.*(unfair|unlawful).*(discrimination)),,Equality_Diversity.txt,False,The aim of the Equality and Diversity Policy is to eliminate discrimination and provide equality throughout the Town Council through the personal commitment of every employee to the policy and its principles.[docs/txt/Equality_Diversity.txt:101-220],docs/txt/Equality_Diversity.txt:101-220,True,True,True,True,False,True,True,True,True,True,False,True,True,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.6309297535714575,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g032,How often will the Equality and Diversity Policy be monitored and reviewed?,metadata,answer,annually,,,Equality_Diversity.txt,False,The Equality and Diversity Policy will be monitored and reviewed annually or as required.[docs/txt/Equality_Diversity.txt:1-120],docs/txt/Equality_Diversity.txt:1-120,True,True,True,True,True,True,True,True,True,True,True,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
gold,g033,Does the Employee Handbook form part of the Contract of Employment?,definition,answer,does not form part; Contract takes precedence,,,Employee_Handbook.txt,True,"The provided sources do not state whether the Employee Handbook as a whole forms part of the Contract of Employment, although the handbook does state that the “Homeworking” policy within it “does not form part of your contract of employment” and may be amended at any time.[docs/txt/Employee_Handbook.txt:701-820]",docs/txt/Employee_Handbook.txt:701-820,True,True,True,True,False,True,False,True,True,True,False,False,True,0.8333333333333334,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.6309297535714575,0.6309297535714575,1.0,1.0,1.0,1.0,False,,,False,,,
gold,g034,"In the Employee Handbook, how long do you have to submit an appeal after receiving the outcome letter for a disciplinary hearing?",procedure,answer,,(?i)\bwithin\s+five\s+days\b,,Employee_Handbook.txt,True,The provided sources do not state how long you have to submit an appeal after receiving the outcome letter for a disciplinary hearing.[docs/txt/Employee_Handbook.txt:2501-2620][docs/txt/Employee_Handbook.txt:2601-2720],docs/txt/Employee_Handbook.txt:2501-2620; docs/txt/Employee_Handbook.txt:2601-2720,True,True,True,True,False,True,False,True,True,True,False,False,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,False,True,,False
gold,g035,Does this policy pack contain a built-in Kubernetes autoscaler?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g036,What is CrewAI and what is a Crew?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g037,What is the capital of France?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g038,What is the weather forecast for London this weekend?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g039,Explain what a transformer model is in AI.,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g040,What is the current EUR to USD exchange rate?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g041,Write a short Python function that reverses a string.,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
gold,g042,What is the latest version of the OpenAI API?,out_of_scope,refuse,,,,,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,True,True,True,True,True,True,True,True,True,,,,,,,,,,,,,,,,,,,,,
silver,s001,"For Data Protection - Employees, what policy group is listed?",metadata,answer,Employees,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The policy group is Employees.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s002,Which policy group does the Data Protection - Employees policy belong to?,metadata,answer,Employees,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The policy group is Employees.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s003,What is the Policy Group field for Data Protection - Employees?,metadata,answer,Employees,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The policy group is Employees.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s004,Which committee is responsible for Data Protection - Employees?,metadata,answer,PERSONNEL,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s005,What is the RESPONSIBLE COMMITTEE for Data Protection - Employees?,metadata,answer,PERSONNEL,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s006,"For Data Protection - Employees, which committee is listed as responsible?",metadata,answer,PERSONNEL,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The responsible committee is PERSONNEL.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
silver,s007,When was Data Protection - Employees last updated (MM/YYYY)?,metadata,answer,03/2024,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,11.03.2025.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
silver,s008,What is the 'Last updated' value for Data Protection - Employees?,metadata,answer,03/2024,,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The last updated is 11.03.2025.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,False,False,True,True,True,True,False,True,True,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
silver,s009,Give the last-updated month/year for Data Protection - Employees.,metadata,answer,03/2024,,,docs/txt/Data_Protection_-_Employees.txt:1-120,True,I cannot answer from the repository based on the retrieved sources.,,False,,,True,False,False,False,True,True,True,False,False,True,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,False,,False,False,,False
silver,s010,What is the next review date guidance for Data Protection - Employees?,metadata,answer,,(?i)\bannual(?:ly)?\b\s+or\s+(?:as|if)\s+required(?:\s+by\s+legislation)?\b,,docs/txt/Data_Protection_-_Employees.txt:1-120,False,The review frequency is Annual or if required by legislation.[docs/txt/Data_Protection_-_Employees.txt:1-100],docs/txt/Data_Protection_-_Employees.txt:1-100,True,True,True,True,True,True,True,True,True,True,True,True,True,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False,True,,True,True,,False
